owner,period,metric_type,value,unit,objective
botao.kan,2025 年 7 月,新增建联量,40,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
botao.kan,2025 年 7 月,新增建联量,20,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
botao.kan,2025 年 7 月,试驾量,30,组,"### (多卖车多赚钱):完成月度车辆销售交付≥1辆(挑战目示3辆),总利润贡献≥1万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾≥30个。月度新增机会>10个合计个人机会池≥7个,机会到试驾的转化率≥10%。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标≥1辆,试驾到锁单的转..."
can.li6,2025 年 7 月,交付量,2,台,"### 7月目标l60交付2台，l90交付1台，l90小定5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428653064193, Owner: yong.wen3 (open_id: ou_1e1b54491a6d7967fb981acd7c9e8502)

#### Key Results:
1...."
can.li6,2025 年 7 月,交付量,1,台,"### 7月目标l60交付2台，l90交付1台，l90小定5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428653064193, Owner: yong.wen3 (open_id: ou_1e1b54491a6d7967fb981acd7c9e8502)

#### Key Results:
1...."
can.li6,2025 年 7 月,交付量,2,台,"### 7月目标l60交付2台，l90交付1台，l90小定5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428653064193, Owner: yong.wen3 (open_id: ou_1e1b54491a6d7967fb981acd7c9e8502)

#### Key Results:
1...."
can.li6,2025 年 7 月,交付量,1,台,"### 7月目标l60交付2台，l90交付1台，l90小定5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428653064193, Owner: yong.wen3 (open_id: ou_1e1b54491a6d7967fb981acd7c9e8502)

#### Key Results:
1...."
carry.wang,2025 年 7 月,新增建联量,262,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
carry.wang,2025 年 7 月,新增建联量,2,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
carry.wang,2025 年 7 月,新增建联量,262,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
carry.wang,2025 年 7 月,新增建联量,52,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
carry.wang,2025 年 7 月,锁单量,1,台,"### 完成月度交付目标一台，月度冲刺目标两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 完成月度试..."
carry.wang,2025 年 7 月,锁单量,1,台,"### 完成月度交付目标一台，月度冲刺目标两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 完成月度试..."
cc.l,2025 年 7 月,交付量,1,台,"### 完成月度车辆销售交付1台（挑战目标2台），总利润贡献≥5000元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每日目标：主动线索3条，试驾3批，排程1批，30S电话量24批，
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台（挑战目标2台），试驾转化率25%，
    - Prog..."
cc.l,2025 年 7 月,交付量,1,台,"### 完成月度车辆销售交付1台（挑战目标2台），总利润贡献≥5000元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每日目标：主动线索3条，试驾3批，排程1批，30S电话量24批，
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台（挑战目标2台），试驾转化率25%，
    - Prog..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,新增建联量,156,人,"### 当月新增建联156批，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联156批，其中门店占比70%，外拓占比30%，
    - Progress: 0%
    - Score: 0
2. 建联用户建信100%覆盖，所有建联用户月均建信次数≥3次，
    - Progress: 0%
    - S..."
cc.l,2025 年 7 月,试驾量,3,组,"### 完成月度车辆销售交付1台（挑战目标2台），总利润贡献≥5000元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每日目标：主动线索3条，试驾3批，排程1批，30S电话量24批，
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台（挑战目标2台），试驾转化率25%，
    - Prog..."
cc.l,2025 年 7 月,试驾量,3,组,"### 完成月度车辆销售交付1台（挑战目标2台），总利润贡献≥5000元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每日目标：主动线索3条，试驾3批，排程1批，30S电话量24批，
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台（挑战目标2台），试驾转化率25%，
    - Prog..."
cheng.liu7,2025 年 7 月,交付量,2,台,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,交付量,2,台,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,100,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,100,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,30,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,100,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,100,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,新增建联量,30,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,锁单量,2,台,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.peng4,2025 年 7 月,交付量,3,台,"### 本月交付3台，L90锁单目标4
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429561819138, Owner: xichen.li (open_id: ou_cf6ab38eea02d82b32754af208f08722)

#### Key Results:
1. 门店Wi留资率＞80%..."
cheng.peng4,2025 年 7 月,交付量,3,台,"### 本月交付3台，L90锁单目标4
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429561819138, Owner: xichen.li (open_id: ou_cf6ab38eea02d82b32754af208f08722)

#### Key Results:
1. 门店Wi留资率＞80%..."
christopher.tu,2025 年 7 月,锁单量,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
christopher.tu,2025 年 7 月,锁单量,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
christopher.tu,2025 年 7 月,锁单量,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
cindy.song,2025 年 7 月,交付量,1,台,"### 完成车辆交付≥1，总亏损≤1.4万
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾≥55个，周中2个，周末3个
    - Progress: 0%
    - Score: 0
2. 锁单交付目标1台
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,50,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,50,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,33,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,16,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,50,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,50,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,33,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,新增建联量,16,人,"### 当月新增建联50人，并持续建信
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店路演建联33人（周中1个，周末1.5个）
    - Progress: 0%
    - Score: 0
2. 主动建联16人
    - Progress: 0%
    - Score: 0

---"
cindy.song,2025 年 7 月,试驾量,55,组,"### 完成车辆交付≥1，总亏损≤1.4万
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾≥55个，周中2个，周末3个
    - Progress: 0%
    - Score: 0
2. 锁单交付目标1台
    - Progress: 0%
    - Score: 0

---"
daisy.ban,2025 年 7 月,新增建联量,5,人,"### 每天建联5人及以上，并持续建信
本月目标2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428515061788, Owner: jiaxin.li11 (open_id: ou_b8c0e3224c802457bc46cd32b4422b31)

#### Key Results:
1. 增加..."
daisy.ban,2025 年 7 月,新增建联量,5,人,"### 每天建联5人及以上，并持续建信
本月目标2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428515061788, Owner: jiaxin.li11 (open_id: ou_b8c0e3224c802457bc46cd32b4422b31)

#### Key Results:
1. 增加..."
dan.liu4,2025 年 7 月,交付量,1,台,"### V1(多卖车多赚钱):完成月度车辆销售交付≥1辆(挑战目标2辆)，总利润贡献≥1万元 (或者:总亏损≤2万元)。
A1:完成试驾≥30个。
A2:月度锁单目标≥1辆(上月为0%)，试驾到锁单的转化率≥3%(上月为0%）
- **Progress:** 0%
- **Score:** 0

---"
dan.liu4,2025 年 7 月,新增建联量,80,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,新增建联量,80,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,新增建联量,80,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,新增建联量,80,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,新增建联量,40,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,新增建联量,40,人,"### (多建联多建信):当月新增建联≥80人，总建联人数≥100人，并持续建信。
A1:月度新增建联≥80人(其中主动建联≥40人，门店路演建联≥40人。
 A2:建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
A3:主动面对面拜访5个已建联无明确购车需求用户(包括合作伙伴、蔚来或乐道的老用户，等)，新增10个蔚来老用户的的L60种草试驾。
A4:在社媒(含朋友圈、视频号、小红书..."
dan.liu4,2025 年 7 月,试驾量,30,组,"### V1(多卖车多赚钱):完成月度车辆销售交付≥1辆(挑战目标2辆)，总利润贡献≥1万元 (或者:总亏损≤2万元)。
A1:完成试驾≥30个。
A2:月度锁单目标≥1辆(上月为0%)，试驾到锁单的转化率≥3%(上月为0%）
- **Progress:** 0%
- **Score:** 0

---"
david.sun1,2025 年 7 月,新增建联量,8,人,"### 多建联多建信)：新增建联8人/天，并持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404204597250, Owner: shuaijie.xu (open_id: ou_1af28bd84fb5bcccdc24c19f3b6ee707)
    - 目标: 75166534042045..."
david.sun1,2025 年 7 月,新增建联量,100,人,"### 多建联多建信)：新增建联8人/天，并持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404204597250, Owner: shuaijie.xu (open_id: ou_1af28bd84fb5bcccdc24c19f3b6ee707)
    - 目标: 75166534042045..."
david.sun1,2025 年 7 月,新增建联量,8,人,"### 多建联多建信)：新增建联8人/天，并持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404204597250, Owner: shuaijie.xu (open_id: ou_1af28bd84fb5bcccdc24c19f3b6ee707)
    - 目标: 75166534042045..."
