owner,period,value,unit,objective
william.tao,2025 年 7 月,4,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
william.tao,2025 年 7 月,4,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
emily.dong,2025 年 7 月,4,台,"### (多卖车多赚钱):月度车辆销售交付≥3辆
(挑战目标4辆，上月交付0辆)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量≥70人次，月试驾目标为        
70+次。月度新增购买需求≥194个，机会到试驾
O        的转化率≥20%)
    - Progress: 0%
    - Score: ..."
lipeng.wang2,2025 年 7 月,4,台,"### 本月锁单新增达成目标个人2台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 确保L60月度交付2台，挑战3台。
    - Progress: 0%
    - Score: 0
2. 挑战L90预定金目标12+，锁单4
    - Progress: 0%
    - Score: 0
3. 冲击月度重点车型选配车1台。
..."
yanxin.li2,2025 年 7 月,4,台,"### 多卖车多赚钱  月度车辆销售交付4
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量80
    - Progress: 0%
    - Score: 0
2. 月度车辆销售交付4
    - Progress: 0%
    - Score: 0
3. 月度锁单4台
    - Progress: 0%
   ..."
yanxin.li2,2025 年 7 月,4,台,"### 多卖车多赚钱  月度车辆销售交付4
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量80
    - Progress: 0%
    - Score: 0
2. 月度车辆销售交付4
    - Progress: 0%
    - Score: 0
3. 月度锁单4台
    - Progress: 0%
   ..."
jian.li27,2025 年 7 月,3,台,"### 多卖车多赚钱：L60锁车、提车≥3台
L90锁车≥3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥2
L60低配车型≥1
L90大定≥3
L90锁单≥3
    - Progress: 0%
    - Score: 0

---"
xumin.han,2025 年 7 月,3,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,3,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,3,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
shicheng.hua,2025 年 7 月,3,台,"### 本月交付俩台 L90锁单3台 金融渗透率达到百分之50，选配车百分之50，二手车百分之30。每周探店并写探店报告。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428513882140, Owner: xiaoli.lu1 (open_id: ou_fd501e1019eb6533e6a7d5f6..."
shicheng.hua,2025 年 7 月,3,台,"### 本月交付俩台 L90锁单3台 金融渗透率达到百分之50，选配车百分之50，二手车百分之30。每周探店并写探店报告。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428513882140, Owner: xiaoli.lu1 (open_id: ou_fd501e1019eb6533e6a7d5f6..."
shicheng.hua,2025 年 7 月,3,台,"### 本月交付俩台 L90锁单3台 金融渗透率达到百分之50，选配车百分之50，二手车百分之30。每周探店并写探店报告。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428513882140, Owner: xiaoli.lu1 (open_id: ou_fd501e1019eb6533e6a7d5f6..."
kai.wei2,2025 年 7 月,3,台,"### 本月完成目标锁单3，交付2
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094875138, Owner: zheng.fang5 (open_id: ou_21b3e2ef823a569a683eee85150d05f4)
    - 目标: 7516653429094875138, Ow..."
xucan.ye,2025 年 7 月,3,台,"### 完成月度3台交付目标，L90意向金16个，锁单3台的目标，经营利润提升超上月
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月初梳理存量PPL用户并进行邀约，加快L60锁单进度，配合区域政策加快锁定
    - Progress: 0%
    - Score: 0
2. 根据区域L90意向用户创建微信群，及时传达L90进店..."
xucan.ye,2025 年 7 月,3,台,"### 完成月度3台交付目标，L90意向金16个，锁单3台的目标，经营利润提升超上月
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月初梳理存量PPL用户并进行邀约，加快L60锁单进度，配合区域政策加快锁定
    - Progress: 0%
    - Score: 0
2. 根据区域L90意向用户创建微信群，及时传达L90进店..."
yi.guo5,2025 年 7 月,3,台,"### 完成月度交付目标3台；月度冲刺目标4台，实现Q3设定7月份EBIT目标。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)
    - 目标: ..."
yi.guo5,2025 年 7 月,3,台,"### 完成月度交付目标3台；月度冲刺目标4台，实现Q3设定7月份EBIT目标。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)
    - 目标: ..."
yi.guo5,2025 年 7 月,3,台,"### 完成月度交付目标3台；月度冲刺目标4台，实现Q3设定7月份EBIT目标。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)
    - 目标: ..."
christopher.tu,2025 年 7 月,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
christopher.tu,2025 年 7 月,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
christopher.tu,2025 年 7 月,3,台,"### L60锁单3个交付三台
L90预定金十个 锁单两台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前手里头的乐道高意向用户保持粘性 及时跟进 手头fc数量尽量维持在十个左右 L90做好接待好每一组用户 手里头的意向用户也保持跟进 每日同步fc表格 梳理基盘
    - Progress: 0%
    - Score: 0..."
xiaolong.yang8,2025 年 7 月,3,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
xiaolong.yang8,2025 年 7 月,3,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
xiaolong.yang8,2025 年 7 月,3,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
hangzhou.liang,2025 年 7 月,2,台,"### 多卖车多赚钱：月度交付≥1台，锁单≥2台
A1. 争取7月L60交付1台、交付1台
A2.争取7月L90意向金/锁单任务：1台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932412956, Owner: kangjin.hong (open_id: ou_b87709b9ee8ff086..."
kaixiong.wang,2025 年 7 月,2,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
kaixiong.wang,2025 年 7 月,2,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
kaixiong.wang,2025 年 7 月,2,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,2,台,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
landon.zhu,2025 年 7 月,2,台,"### 7月完成l60锁单2台l90锁单1台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 7月10号之前fc上表10个，每日重点跟进推进梳理替换fc表
    - Progress: 0%
    - Score: 0

---"
landon.zhu,2025 年 7 月,2,台,"### 7月完成l60锁单2台l90锁单1台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 7月10号之前fc上表10个，每日重点跟进推进梳理替换fc表
    - Progress: 0%
    - Score: 0

---"
wenyu.zhang4,2025 年 7 月,2,台,"### 7月L60锁单2台，L90锁单1台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 7.10号之前上10个 每日跟进更新梳理fc表
    - Progress: 0%
    - Score: 0

---"
wenyu.zhang4,2025 年 7 月,2,台,"### 7月L60锁单2台，L90锁单1台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 7.10号之前上10个 每日跟进更新梳理fc表
    - Progress: 0%
    - Score: 0

---"
wenyu.zhang4,2025 年 7 月,2,台,"### 7月L60锁单2台，L90锁单1台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 7.10号之前上10个 每日跟进更新梳理fc表
    - Progress: 0%
    - Score: 0

---"
liangmeng.xu,2025 年 7 月,2,台,"### 7月L60交付≥1台 锁单≥2台
L90 争取多邀约客户体验，本月目标收取意向金≥5组意向客户
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651644257370140, Owner: qingnan.liu (open_id: ou_78f01e6d28f7efcaa6d2146d22cf2ca7)..."
xiaoyi.weng2,2025 年 7 月,2,台,"### L60锁单2，L90预订金3锁单2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前可能90用户偏多，抓住这波小定争取做到超过目标数据，60用户手上的留存是否能做到转化，争取完成目标
    - Progress: 0%
    - Score: 0

---"
xiaoyi.weng2,2025 年 7 月,2,台,"### L60锁单2，L90预订金3锁单2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前可能90用户偏多，抓住这波小定争取做到超过目标数据，60用户手上的留存是否能做到转化，争取完成目标
    - Progress: 0%
    - Score: 0

---"
xiaoyi.weng2,2025 年 7 月,2,台,"### L60锁单2，L90预订金3锁单2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 目前可能90用户偏多，抓住这波小定争取做到超过目标数据，60用户手上的留存是否能做到转化，争取完成目标
    - Progress: 0%
    - Score: 0

---"
william.tao,2025 年 7 月,2,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
william.tao,2025 年 7 月,2,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
william.tao,2025 年 7 月,2,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
william.tao,2025 年 7 月,2,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
william.tao,2025 年 7 月,2,台,"### 多卖车多赚钱：月交付目标2台，锁单4台
（L60交付2台，锁单2台，L90锁单2台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月建联总量150，新建建联120（月度建信百分百覆盖）
    - Progress: 0%
    - Score: 0
2. 月试驾总数60组 周试驾总数15组
周新增2组Forcase
 ..."
emily.dong,2025 年 7 月,2,台,"### (多卖车多赚钱):月度车辆销售交付≥3辆
(挑战目标4辆，上月交付0辆)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量≥70人次，月试驾目标为        
70+次。月度新增购买需求≥194个，机会到试驾
O        的转化率≥20%)
    - Progress: 0%
    - Score: ..."
emily.dong,2025 年 7 月,2,台,"### (多卖车多赚钱):月度车辆销售交付≥3辆
(挑战目标4辆，上月交付0辆)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量≥70人次，月试驾目标为        
70+次。月度新增购买需求≥194个，机会到试驾
O        的转化率≥20%)
    - Progress: 0%
    - Score: ..."
kim.chen2,2025 年 7 月,2,台,"### 完成月锁单2台
冲刺目标3台
交付目标2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935789084, Owner: kun.xiong2 (open_id: ou_da69278049ad19e62f2e7c5512cb5396)

#### Key Results:
1. 日过程数..."
kim.chen2,2025 年 7 月,2,台,"### 完成月锁单2台
冲刺目标3台
交付目标2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935789084, Owner: kun.xiong2 (open_id: ou_da69278049ad19e62f2e7c5512cb5396)

#### Key Results:
1. 日过程数..."
xin.li43,2025 年 7 月,2,台,"### 7月个人交付目标≥2，L90个人锁单目标≥3台。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516649136643489793, Owner: yao.lu3 (open_id: ou_402731f2b64a1e57e7b47eef1ef4c30c)

#### Key Results:
1. 门店WI..."
xin.li43,2025 年 7 月,2,台,"### 7月个人交付目标≥2，L90个人锁单目标≥3台。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516649136643489793, Owner: yao.lu3 (open_id: ou_402731f2b64a1e57e7b47eef1ef4c30c)

#### Key Results:
1. 门店WI..."
cheng.liu7,2025 年 7 月,2,台,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
yutong.guo,2025 年 7 月,2,台,"### 1.交付目标：1 锁单目标：2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 试驾完成40 组 成交转化率5% 预计完成锁单2单
    - Progress: 0%
    - Score: 0
2. 月锁单目标2组 试驾转换率5%
    - Progress: 0%
    - Score: 0
3. 选配车辆占比50..."
yutong.guo,2025 年 7 月,2,台,"### 1.交付目标：1 锁单目标：2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 试驾完成40 组 成交转化率5% 预计完成锁单2单
    - Progress: 0%
    - Score: 0
2. 月锁单目标2组 试驾转换率5%
    - Progress: 0%
    - Score: 0
3. 选配车辆占比50..."
xushen.huang,2025 年 7 月,2,台,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
nancy.xia,2025 年 7 月,2,台,"### 完成月锁单2台，争取3台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935789084, Owner: kun.xiong2 (open_id: ou_da69278049ad19e62f2e7c5512cb5396)
    - 目标: 7516653427935789084, Owne..."
nancy.xia,2025 年 7 月,2,台,"### 完成月锁单2台，争取3台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935789084, Owner: kun.xiong2 (open_id: ou_da69278049ad19e62f2e7c5512cb5396)
    - 目标: 7516653427935789084, Owne..."
alan.xie3,2025 年 7 月,2,台,"### 新人入职加加电⛽️ 尽快熟悉各流程，除本品外 同组讨论 学习竞品
周均邀约12+周均试驾12+ 月锁单2+
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426710822914, Owner: star.xu (open_id: ou_8e475314f3cca1e78928b14426de1f1..."
xiaolong.yang8,2025 年 7 月,2,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
xiaolong.yang8,2025 年 7 月,2,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
xiaolong.yang8,2025 年 7 月,2,台,"### 多卖车多赚钱：L60锁单2台，交付1台以上
L90锁单3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥1台
L90大定≥10台
    - Progress: 0%
    - Score: 0

---"
kaixiong.wang,2025 年 7 月,1,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
kaixiong.wang,2025 年 7 月,1,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
kaixiong.wang,2025 年 7 月,1,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
jack.gao2,2025 年 7 月,1,台,"### 月度车辆销售交付 ≥ 2 辆，财务口径门店经营总亏损≤0
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾总量 ≥ 40人次，月试驾目标为45次，机会到试驾的转化率 ≥ 40%
    - Progress: 0%
    - Score: 0
2. 月度锁单目标1台；其中L60锁单1台，L90锁单1台；L90预定金3..."
meijun.jiang,2025 年 7 月,1,台,"### 7月L60锁单1台/交付1台
7月了90意向金2台/锁单1台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932412956, Owner: kangjin.hong (open_id: ou_b87709b9ee8ff0865956c922b238e74b)
    - 目标: 75166..."
